room,dr finch,prof crane,col robin,rev hawk,sgt stork,capt falcon,orange,apple,lemon,pineapple,banana,pear,rugby,cricket,hockey,football,tennis,baseball
hl6,0.038685,0.07754,0.047695,0.099265,0.09445,0.11146,0.039225,0.07692,0.04855,0.09271,0.094965,0.10442,0.038985,0.07759,0.047365,0.097235,0.087605,0.11096
hl5,0.039125,0.07489,0.043875,0.09584,0.088515,0.127755,0.03961,0.07403,0.044215,0.093855,0.08537,0.12451,0.0394,0.075375,0.04368,0.09144,0.088785,0.128105
hl4,0.037775,0.08204,0.046685,0.10157,0.0884,0.10836,0.037905,0.081975,0.047605,0.095305,0.087355,0.104175,0.03824,0.081895,0.0451,0.10148,0.082785,0.107495
hl3,0.038005,0.078235,0.04318,0.10169,0.089185,0.1275,0.03826,0.0784,0.04357,0.099105,0.08921,0.121525,0.03765,0.078275,0.043855,0.09991,0.083925,0.127485
hl2,0.038555,0.08454,0.039975,0.09879,0.083635,0.12483,0.038865,0.08408,0.04056,0.092675,0.081185,0.11433,0.038015,0.08422,0.038545,0.09371,0.07709,0.124265
hl1,0.040315,0.07721,0.04381,0.102265,0.09299,0.11336,0.040525,0.077225,0.0444,0.09285,0.093,0.110395,0.040365,0.07744,0.04227,0.102695,0.08452,0.113235
vl1,0.130465,0.086645,0.124725,0.06613,0.07373,0.04808,0.13005,0.086485,0.12363,0.07031,0.075585,0.05464,0.130335,0.086525,0.129275,0.068515,0.073305,0.04783
vl3,0.12901,0.08786,0.12484,0.063665,0.07934,0.047565,0.128985,0.088635,0.12424,0.06712,0.0819,0.051835,0.128275,0.08826,0.12437,0.06356,0.08456,0.048815
vl2,0.12586,0.08402,0.127465,0.066885,0.076035,0.048715,0.12606,0.08404,0.12794,0.081855,0.077185,0.05484,0.125785,0.083545,0.126515,0.069655,0.08152,0.04911
vl5,0.12859,0.0907,0.11407,0.066055,0.079145,0.049445,0.12825,0.09149,0.112405,0.072775,0.081375,0.055625,0.127935,0.091065,0.11166,0.065215,0.08075,0.04942
vl4,0.123775,0.08891,0.125865,0.0669,0.080775,0.045405,0.122715,0.08971,0.125785,0.06643,0.08097,0.04972,0.123415,0.08826,0.127365,0.071895,0.090875,0.045895
vl6,0.129845,0.08741,0.11782,0.07095,0.073805,0.047525,0.129555,0.08701,0.117105,0.075015,0.071905,0.053985,0.131605,0.08755,0.120005,0.074695,0.084285,0.047385
